[발표]를 듣다	聽「發表」
[밤새워] 일하다	「通宵」工作
[분수]를 모르다	不知道「分寸」
경제 [분야]	經濟「領域」
[비유]를 들다	打「比方」
[비율]이 낮다	「比例」低
[사례]를 들다	舉出「實例」
[사전]을 찾다	查「字典」
[상]으로 매기다	定「奬賞」
[상식]에 어긋나다	違背「常識」
[상징]이 되다	成為「象徵」
도장을 [새기다]	「刻」印章
상황 [설정]	情況「設定」
[성공적] 삶	「成功的」生活
[성적표]를 받다	收「成績單」
수를 [세다]	「數」數
[세미나]를 열다	舉辦「研討會」
[소감]을 말하다	說「感想」
[소수]에 불과하다	只是「少數」
[수량]이 모자라다	「數量」不夠
[수수께끼]를 풀다	解「謎語」
[시험지]를 채점하다	「考卷」評分
[신입생]을 모집하다	募集「新生」
[실험]을 하다	做「實驗」
칠판에 [쓰이다]	「寫」黑板
저울이 [쓰이다]	「用」秤
답을 [알아맞히다]	「猜到」答案
도우려고 [애쓰다]	「力圖」幫助
[약도]를 그리다	畫「簡圖」
근심을 [없애다]	「解」憂
말이 [없어지다]	「無」言
[여고] 시절	「女高」時期
[연구]에 몰두하다	埋頭「研究」
[연구소]를 세우다	成立「實驗室」
[연구실]에서 공부하다	在「實驗室」研究
[연구원]에서 일하다	在「研究院」工作
[연구자]로 일하다	當「研究者」
[예]를 들다	例如
[예고]를 보다	看「預告」
[예외]로 하다	例外
[예컨대]:−	例如
[윗글]을 읽다	讀「上文」
영어가 [유창하다]	英語「流利」
[응답]을 기다리다	等「回答」
[응시] 원서	「應試」申請書
[의문]이 생기다	產生「疑問」
[의식]을 잃다	失去「意識」
[의식]을 치르다	舉行「儀式」
[이상적] 방법	「理想的」方法
[인용] 문구	「引用」文句
[일석이조]를 노리다	伺機「一石二鳥」
[읽기]를 배우다	學習「閱讀」
책이 [읽히다]	書「被讀」
책을 [읽히다]	讀「書」
[자격증]을 따다	取得「証書」
[작문]을 읽다	讀「作文」
[장학] 사업	「獎學」事業
[장학금]을 받다	收到「獎學金」
무게를 [재다]	「秤」重量
[재수]가 좋다	「運氣」好
[재학] 증명서	「在學」證明
[재학생]이 늘다	「在學生」增加
파일 [저장]	文件「保存」
[전원]을 끄다	關掉「電源」
[전자사전]을 찾다	查「電子詞典」
1장 1[절]	第1章第1「節」
[정답]을 고르다	選擇「正確答案」
[정확히] 계산하다	「正確地」計算
의견 [제시]	意見「提出」
[제안]을 받다	接受「提議」
[중급] 수준	「中級」水準
[증명]을 하다	證明
[증명서]를 발급하다	發給「證書」
[지도]를 받다	收到「指導」
[지식]을 얻다	獲得「知識」
몸이 [지치다]	身體「很疲倦」
[진로]를 결정하다	決定「課程」
[진학] 상담	「進學」商談
[짐작]도 못하다	「猜測」不到
[초급] 단계	「初學者」階段
[초점]을 맞추다	猜中「重點」
[추측]이 맞다	「猜測」中
도서 [출판]	圖書「出版」
[테스트]를 받다	接受「測試」
[통역]을 부탁하다	拜託「翻譯」
[파일]을 정리하다	整理「文件」
[페이지]를 넘기다	翻「頁」
[표]로 나타내다 	用「表格」表示
[표지]를 싸다	包「書皮」
[표현]을 쓰다	使用「表現」
[프린터]를 연결하다	連接「印表機」
[필기]	做筆記
전공 [학과]	專門「學科」
최종 [학력]	最終「學歷」
[학문]에 정진하다	在「學問」精進
