나쁜 [짓]	壞「行為」
옆으로 바짝 [다가서다]	「緊挨著」邊
[비틀거리다] 걷다	「搖搖晃晃的」走
붕대를 [감다]	「包」繃帶
물건을 [건드리다]	「觸碰」東西
물에서  [건지다]	從水中「撈出」
머리를 [굵다]	腿很「粗」
이불을 [깔다]	「鋪」被子
이불이 [깔리다]	「鋪」被子
그릇을 [깨다]	「打破」碗
유리가 [깨지다]	玻璃「碎了」
신발을 [끌다]	「拖」著鞋
바지가 [끌리다]	「拖」著褲子
의자를 [끌어당기다]	把椅子「拉過來」
아기를 [끌어안다]	把孩子「抱起來」
단추를 [끼다]	「扣上」鈕扣
틈에 [끼이다]	「夾在」縫隙
밖으로 [내놓다]	拿出來
손을 [내밀다]	「伸」手
쓰레기를 [내버리다]	「丟」垃圾
거스름돈을 [내주다]	「拿出」錢
책상 위에 [놓아두다]	「放在」書桌上
손을 [놓치다]	「放」手
탁자 위에 [놔두다]	「放在」桌上
배추를 [다듬다]	「修剪」白菜
마늘을 [다지다]	「剁碎」大蒜
음식이 그릇에 [담기다]	被食物「放在」碗中
쌀을 [담다]	「裝」大米
의자를 [당기다]	「拉」椅子
손에 [닿다]	「沾」手
밥을 [덜다]	「盛」飯
벽지를 [덧붙이다]	「貼上」壁紙
이불을 [덮다]	「蓋」被子
뚜껑이 [덮이다]	「蓋上」蓋子
문을 [두드리다]	「敲」門
포장지를 [둘러싸다]	用包裝紙「圍起來」
포장지에 [둘러싸이다]	用包裝紙「圍起來」
가방을 [뒤지다]	在包包中「翻找」
물을 [따르다]	「倒」水
스티커를 [떼다]	「撕下」廣告紙
구멍을 [뚫다]	「鑽」孔
구멍이 [뚫리다]	「鑽」孔
물을 [뜨다]	「浮在」水上
편지를 [뜯다]	「撕」信
허리띠를 [띠다]	「綁」腰帶
손바닥을 [마주치다]	「擊」掌
[마찰]이 생기다	產生「摩擦」
귀를 [막다]	「捂住」耳朵
문에 [매달다]	「吊在」門上
철봉에 [매달리다]	「吊」單槓
구멍을 [메우다]	「堵」洞
[몸짓]을 따라하다	跟著「手勢」
끈을 [묶다]	「繫」繩子
끈이 [묶이다]	「繫」繩子
차가 [밀리다]	「堵」車
사람들에게 [밀리다]	被人「擠」
못을 [박다]	「釘」釘子
벽에 못이 [박히다]	在牆「釘」釘子
빛으로 [밝혀지다]	用光線「照亮」
전등을 [밝히다]	「點亮」電燈
간격을 [벌리다]	「拉開」間隔
물을 [붓다]	「倒」水
팔을 [붙들다]	「捉住」胳膊
치맛자락을 [붙잡다]	「捉住」裙角
눈을 [비비다]	「揉」眼睛
전구를 [빼놓다]	「摘下」燈泡
가지가 [뻗다]	「長出」枝芽
손을 [뿌리치다]	「甩開」手
냄새가 [섞이다]	「夾雜」異味
서로 [손잡다]	互相「牽手」
배에 [실리다]	「裝在」船裡
오줌을 [싸다]	「撒」尿
보자기에 [싸이다]	被包袱「包住」
아기가 [안기다]	「抱」小孩
꽃다발을 [안기다]	「捧」花
짚을 [엮다]	「編」稻草
나무가 [잘리다]	「砍」樹
문을 [잡아당기다]	「拉」門
도둑이 [잡히다]	小偷「被抓」
[존재]를 인정하다	認知「存在」
주먹을 [쥐다]	「握」拳
도끼로 [찍다]	用斧頭「劈」
[커트]를 하다(머리)	「剪」髮
옷을 [털다]	「抖」衣服
땅을 [파다]	「挖」土
책을 [펼치다]	「翻開」書
밑줄을 [치다]	「劃」線
소매를 [걷다]	「挽起」袖子
손바닥을 [부딪치다]	「擊」掌
기름을 [쏟다]	倒「油」
종이를 [찢다]	「撕」紙
종이가 [찢어지다]	紙「撕掉」
붕대를 [갈다]	「換」繃帶
줄을 [긋다]	「劃」線
손가락을 [꼽다]	「掰」手指算日子
다섯 손가락 안에 [꼽히다]	「屈指」可數
열쇠를 [꽂다]	「插入」鑰匙
꽃이 [꽂히다]	「插」花
[꽉] 누르다	「使勁」壓
단추를 [끼우다]	「扣上」鈕扣
단추가 [달리다]	「繫好」鈕扣
총을 [쏘다]	「開」槍
숫자가 [적히다]	「寫下」數字
커피를 [젓다]	「攪」咖啡
손가락으로 [집다]	用手指「夾」
바늘로 [찌르다]	用針「扎」
도장이 [찍히다]	「蓋」章
상대를 [노려보다]	「盯著」對方
식물 [관찰]	植物「觀察」
