184,拔劍論功,MywTmASsASM
185,昂昂之鶴,Vj6NCAJ1rGI
186,愛博不專,768_3N2hc_I
187,一模一樣,O4mLFOqj81M
188,臨陣磨槍,Gv4iLCnXk6s
189,為虺弗摧,LXt9Hl44-Ys
190,作法自斃,wz34q63uJuc
191,禍莫大於輕敵,teVYmYdjM-s
192,功不唐捐,l5e3AC7JOaY
193,奉若神明,3WHwKESVxjo
194,貴賤無常,yI3z_0nYkzY
195,金針度人,lsb0UQtGJrA
196,三拜九叩,JjYy6AHD17Y
197,三百六十行,G1yX6t8xEBo
198,告貸無門,mz9KG7BEaCs
199,急驚風撞到慢郎中,RuK8r3-oYM8
200,苦中作樂,PBu5R-6ge7s
201,傲上矜下,C6jhxNPR7Is
202,才人行短,BEWugyuf7-M
203,才人行短,F86sSon4RlE
204,才廣妨身,Sqqn7ISOeME
205,投鞭斷流,0ixiHK3ALGM
206,鐵樹開花,-kqS8xtzMIY
207,集螢映雪,nusLnkmG5rY
208,雷聲大雨點小,zu34kSJ5_mY
209,先斬後奏,c9vm9exBGno
210,足音跫然,qjXffROc4fk
211,無孔不入,MTUAmPfw5Tk
212,藹然可親,83eYEGbhVyE
213,愛素好古,oDAQL6k6Tl4
214,煙波浩渺,fY9w2qOFHPY
215,拿手好戲,nPiKGvhOAA8
216,囊中羞澀,C8V8hIjIsh8
217,鬧中取靜,eQ17TpKTAKw
218,逆耳之言,-uMpGiSb1kc
219,七瘡八孔,4xCY3A-cK3Y
220,難如登天,sJwuTtOSpQI
221,開懷暢飲,7an60QySUjQ
222,慷慨解囊,pKX-hUcMA3o
223,啞子吃黃連,H-Zknmgch2s
224,徬徨四顧,f17NRfDxdew
225,空頭支票,4U8CYCg12O4
226,愛才如渴,EVrxPcRkT5U
227,徬徨歧途,zfZu6Zsu5Q8
228,睚眥必報,IPFh3VMLdHc
229,愛國如家,zafE9NO-c1I
230,魚死網破,ljkD4lZhGVA
231,雞犬升天,1RcUbLOMLlw
232,嚴父慈母,fqNbkhB8KaY
233,牽著鼻子走,aC08GoNrCvY
234,擔雪填井,b9ep3z_2N-A
235,內柔外剛,1hajanaFVFg
236,煙蓑雨笠,MPjJ3S3psqk
