정월 [보름]	正月「十五日」
[올] 삼월	「今年」三月
[가만] 놔두다	「暫時」放著
[겨울철]을 보내다	過「冬季」
행운이 [겹치다]	幸運「接連而至」
사건의 [계기]	事件的「契機」
[곧바로] 처리하다	「馬上」處理
[곧이어] 시작하다	「緊接著」開始
[곧장] 가다	「馬上」去
[그제]께	「前天」
[그제야] 끝나다	「就在此刻」結束
[근래]에 만나다	在「近來」見面
[금]요일	「金」：星期五
[금년] 여름	「今年」夏天
온도를 [낮추다]	「降低」溫度
일 년 [내내]	一年到頭
[내달] 중순	「下個月」中旬
[낼모레]	後天
마무리 [단계]	收尾「階段」
[단기] 교육	「短期」教育
[닷새]가 걸리다	耗時「五天」
[당분간] 쉬다	「暫時」休息
그 [당시]	那「時候」
[당일]로 다녀오다	「當天」來回
지금 [당장]	現在「馬上」
[대기]를 시키다	讓他「等待」
[대낮] 처럼 밝다	像「正午」般明亮
[도중]에 끼어들다	「途中」插手
시간을 [되돌리다]	時光「倒流」
[때]를 밀다	搓「污垢」
[마냥] 기다리다	「一直」等
[막] 출발하다	「馬上」出發
임신 [말기]	懷孕「末期」
[맘껏] 놀다	「盡情」玩
[문득] 떠오르다	「突然」出現
30세 [미만]	30歲「以下」（未滿）
[미처] 못하다	還來不及
[반복] 연습	「重複」練習
[밤낮]으로 일하다	「日夜」工作
[밤늦게] 귀가하다	「在深夜」回家
[밤새] 일하다	「通宵」工作
[밤새]도록 일하다	「通宵」工作
[밤중]에 다니다	渡過「午夜」
[벌떡] 일어나다	「猛地」起來
[비로소] 깨닫다	「才」意識到
[사전] 준비	「事前」準備
하루 [새]	一天「內」
[새삼] 느끼다	「重新」感受
21[세기]	21「世紀」
[순간] 놀라다	「一瞬間」驚嚇
[순간적] 느낌	「瞬間的」感覺
[순식간]에 사라지다	「瞬間」消失
일출 [시각]	日出「時間」
여성의 [시각]	女性「視角」
등록 [시기]	註冊「時間」
조선 [시대]	朝鮮「時代」
[시일]이 걸리다	費「時」
어린 [시절]	幼兒「時期」
[시점]에 이르다	到了「時間」
[아침저녁]으로 만나다	「早晚」見面
[앞날]을 기약하다	約定「未來」
시험을 [앞두다]	考試「逼近」
[앞서] 도착하다	「先」到達
[앞서서] 걷다	走在「前面」
반장을 [앞세우다]	讓班長「走在前頭」
[앞장서] 가다	衝鋒陷陣
[야간] 근무	「夜間」勤務
[어느덧] 사라지다	「遲早」消失
[어느새] 다 자라다	「不知不覺」長大了
[어저께] 아침	「昨天」早上
미래의 [언젠가]	未來的「某一天」
[엊그제] 아침	「昨天」早上
[여름휴가]를 떠나다	去「暑假」
[여유]가 있다	有「餘裕」
시간이 [여유롭다]	時間「寬鬆」
[여전히] 그대로	「還是」老樣子
[연] 강수량	「年」降水量
무기한 [연기]	無限期「延期」
졸업 [연도]	畢業「年度」
[연체] 도서	「逾期」圖書
[영원]을 약속하다	「永遠」約定
[영원히] 사랑하다	「永遠地」愛
[예]로부터	自古以來
[오늘날]에 이르다	到了「今天」
[오래도록] 간직하다	「永遠」珍藏
[오래오래] 사세요	祝你「長」壽
[오랜] 시간	「很長」時間
[온종일]을 보내다	過「一整天」
[요새]	近來
[요즈음] 유행이다	「這些日子」很流行
[우선]으로 하다	做「優先的」
[원래] 그렇다	「原來」就這樣
[이내] 잠이 들다	「馬上」睡著
[이달] 말	「這個月」底
